hospital_name,hospital_type,star_rating,readmit_success_count,readmit_fail_count,community_income,community_population
MOUNTAIN VIEW HOSPITAL,Acute Care Hospitals,5,0,0,64213.0,25185.0
UINTAH BASIN MEDICAL CENTER,Acute Care Hospitals,4,1,0,64880.0,12224.0
ASHLEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,1,0,67595.0,30062.0
LAKEVIEW HOSPITAL,Acute Care Hospitals,5,2,0,68134.0,46086.0
ALTA VIEW HOSPITAL,Acute Care Hospitals,5,2,0,78302.0,28465.0
BON SECOURS SOUTHAMPTON MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,1,45071.0,13029.0
LONESOME PINE HOSPITAL,Acute Care Hospitals,2,0,1,42721.0,11396.0
LEWISGALE HOSPITAL ALLEGHANY,Acute Care Hospitals,5,0,0,14914.0,161.0
RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG,Acute Care Hospitals,4,0,0,76923.0,48992.0
EVERGREENHEALTH MONROE,Acute Care Hospitals,2,0,1,85029.0,31098.0
STONEWALL JACKSON MEMORIAL HOSPITAL,Acute Care Hospitals,5,0,1,37352.0,8796.0
ST JOSEPH'S HOSPITAL,Acute Care Hospitals,5,0,0,57679.0,32663.0
AURORA MEDICAL CTR WASHINGTON COUNTY,Acute Care Hospitals,5,1,0,68701.0,22578.0
DIVINE SAVIOR HEALTHCARE,Acute Care Hospitals,4,0,0,49606.0,14627.0
ST NICHOLAS HOSPITAL,Acute Care Hospitals,3,0,0,44181.0,42496.0
MARSHFIELD MEDICAL CENTER - BEAVER DAM (MMC-BD),Acute Care Hospitals,4,1,0,50706.0,22647.0
HOWARD YOUNG MEDICAL CENTER,Acute Care Hospitals,4,1,0,39678.0,4938.0
WATERTOWN MEMORIAL HOSPITAL,Acute Care Hospitals,5,1,0,54760.0,11690.0
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,Acute Care Hospitals,5,2,0,62500.0,31128.0
MAYO CLINIC HEALTH SYSTEM-RED CEDAR INC,Critical Access Hospitals,4,1,0,51247.0,25768.0
SAGEWEST HEALTH CARE,Acute Care Hospitals,2,0,0,54788.0,19510.0
ORO VALLEY HOSPITAL,Acute Care Hospitals,4,1,0,90814.0,16143.0
VALLEY VIEW MEDICAL CENTER,Acute Care Hospitals,2,0,0,43865.0,14084.0
PETALUMA VALLEY HOSPITAL,Acute Care Hospitals,3,1,0,86953.0,38316.0
UCHEALTH YAMPA VALLEY MEDICAL CENTER,Acute Care Hospitals,5,1,0,71510.0,17708.0
SHARON HOSPITAL,Acute Care Hospitals,5,1,0,77083.0,2374.0
PIEDMONT WALTON HOSPITAL,Acute Care Hospitals,3,1,0,46391.0,24957.0
ILLINOIS VALLEY COMMUNITY HOSPITAL,Acute Care Hospitals,5,0,0,47246.0,10684.0
SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,Acute Care Hospitals,3,1,0,50208.0,23834.0
OTTUMWA REGIONAL HEALTH CENTER,Acute Care Hospitals,4,1,0,42119.0,29662.0
PELLA REGIONAL HEALTH CENTER,Critical Access Hospitals,5,1,0,70243.0,13696.0
WESTERN PLAINS MEDICAL COMPLEX,Acute Care Hospitals,3,1,0,48474.0,31043.0
MEADOWVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,2,0,38750.0,13980.0
LEONARD J CHABERT MEDICAL CENTER,Acute Care Hospitals,4,0,0,36806.0,25193.0
WALDO COUNTY GENERAL HOSPITAL,Critical Access Hospitals,4,0,0,52226.0,8842.0
BAYSTATE WING HOSPITAL,Acute Care Hospitals,5,0,0,59211.0,8919.0
LAKE HURON MEDICAL CENTER,Acute Care Hospitals,5,0,1,40061.0,39693.0
MIDMICHIGAN MEDICAL CENTER-WEST BRANCH,Acute Care Hospitals,4,0,1,42406.0,10492.0
UP HEALTH SYSTEM PORTAGE,Acute Care Hospitals,3,0,0,41991.0,7250.0
MCLAREN THUMB REGION,Acute Care Hospitals,5,2,0,46086.0,7268.0
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,Acute Care Hospitals,2,0,1,45539.0,16930.0
ST LUKE'S DES PERES HOSPITAL,Acute Care Hospitals,2,1,0,91824.0,38941.0
PROGRESS WEST HOSPITAL,Acute Care Hospitals,4,0,0,95774.0,45640.0
SIDNEY HEALTH CENTER,Critical Access Hospitals,5,1,0,67190.0,8750.0
METHODIST FREMONT HEALTH,Acute Care Hospitals,4,1,0,51116.0,29911.0
NORTHEASTERN NEVADA REGIONAL HOSPITAL,Acute Care Hospitals,2,0,0,77329.0,25920.0
NORTHERN NEVADA MEDICAL CENTER,Acute Care Hospitals,4,2,0,60639.0,26107.0
INSPIRA MEDICAL CENTER ELMER,Acute Care Hospitals,3,0,1,79692.0,12330.0
GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,0,0,50042.0,29439.0
ST ANTHONY COMMUNITY HOSPITAL,Acute Care Hospitals,4,0,2,94091.0,19781.0
MASSENA HOSPITAL INC,Acute Care Hospitals,2,0,2,47394.0,16481.0
THE MCDOWELL HOSPITAL,Acute Care Hospitals,3,1,0,38906.0,30453.0
ANGEL MEDICAL CENTER,Critical Access Hospitals,4,1,0,37759.0,26544.0
CHI ST ALEXIUS HEALTH DICKINSON,Critical Access Hospitals,5,0,0,79611.0,26309.0
COMMUNITY HOSPITALS AND WELLNESS CENTERS,Acute Care Hospitals,3,0,0,43408.0,14275.0
INTEGRIS GROVE HOSPITAL,Acute Care Hospitals,4,1,0,40510.0,15197.0
INTEGRIS HEALTH EDMOND,Acute Care Hospitals,3,0,0,79238.0,43646.0
WILLAMETTE VALLEY MEDICAL CENTER,Acute Care Hospitals,4,1,0,52288.0,37599.0
PENN HIGHLANDS HUNTINGDON,Acute Care Hospitals,4,1,0,45798.0,18248.0
ST LUKE'S SACRED HEART CAMPUS,Acute Care Hospitals,5,0,0,31257.0,49202.0
PAMPA REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,0,0,49005.0,21082.0
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,Acute Care Hospitals,5,1,0,46327.0,29478.0
NAVARRO REGIONAL HOSPITAL,Acute Care Hospitals,4,1,0,42843.0,28847.0
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,Acute Care Hospitals,4,0,0,124915.0,38975.0
NORTON COMMUNITY HOSPITAL,Acute Care Hospitals,4,0,0,32591.0,6507.0
TWIN COUNTY REGIONAL HOSPITAL,Acute Care Hospitals,3,1,0,36189.0,18041.0
LOURDES MEDICAL CENTER,Critical Access Hospitals,5,1,1,61029.0,77226.0
REYNOLDS MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,56894.0,2884.0
AURORA MEDICAL CTR MANITOWOC COUNTY,Acute Care Hospitals,4,0,1,44315.0,14413.0
BARTLETT REGIONAL HOSPITAL,Acute Care Hospitals,5,0,1,91743.0,30179.0
CENTRAL PENINSULA GENERAL HOSPITAL,Acute Care Hospitals,2,0,1,77382.0,15516.0
NORTH ARKANSAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,0,0,41595.0,30306.0
SUTTER AMADOR HOSPITAL,Acute Care Hospitals,5,1,1,53357.0,6615.0
SUTTER DAVIS HOSPITAL,Acute Care Hospitals,4,2,0,50000.0,50068.0
SAN LUIS VALLEY HEALTH,Acute Care Hospitals,2,0,0,35776.0,15568.0
DELTA COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,4,2,0,39926.0,14285.0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,1,32053.0,19696.0
JACKSON HOSPITAL,Acute Care Hospitals,3,0,1,43939.0,11501.0
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,Acute Care Hospitals,3,1,0,55251.0,21217.0
NORTH HAWAII COMMUNITY HOSPITAL,Acute Care Hospitals,5,0,0,73970.0,14844.0
ST MARGARETS HOSPITAL,Acute Care Hospitals,3,0,1,45724.0,5542.0
FRANCISCAN HEALTH CRAWFORDSVILLE,Acute Care Hospitals,5,0,0,52383.0,27964.0
MAJOR HOSPITAL,Acute Care Hospitals,3,0,1,53817.0,27485.0
MARGARET MARY COMMUNITY HOSPITAL INC,Critical Access Hospitals,5,1,0,58872.0,11144.0
ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,Acute Care Hospitals,4,0,0,49688.0,11971.0
"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",Acute Care Hospitals,3,1,0,41676.0,12680.0
FLAGET MEMORIAL HOSPITAL,Acute Care Hospitals,4,2,0,55531.0,30006.0
SAINT JOSEPH MOUNT STERLING,Acute Care Hospitals,5,0,0,42981.0,22568.0
BAPTIST HEALTH LAGRANGE,Acute Care Hospitals,4,2,1,74480.0,24922.0
ABBEVILLE GENERAL HOSPITAL,Acute Care Hospitals,4,0,0,47483.0,25873.0
CARY MEDICAL CENTER,Acute Care Hospitals,4,0,1,39933.0,9290.0
GARRETT COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,0,46197.0,14504.0
UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,Acute Care Hospitals,3,0,0,59534.0,12584.0
HARRINGTON MEMORIAL HOSPITAL-1,Acute Care Hospitals,2,0,2,50202.0,16858.0
MIDMICHIGAN MEDICAL CENTER-GRATIOT,Acute Care Hospitals,2,1,0,36546.0,12768.0
SPECTRUM HEALTH UNITED HOSPITAL,Acute Care Hospitals,5,0,0,46110.0,18130.0
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,Acute Care Hospitals,5,1,0,73240.0,44874.0
SPECTRUM HEALTH LUDINGTON HOSPITAL,Acute Care Hospitals,4,0,0,45867.0,17150.0
CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,Acute Care Hospitals,2,0,0,43419.0,19504.0
ST JOSEPH MERCY CHELSEA,Acute Care Hospitals,5,2,0,78487.0,12665.0
MUNSON HEALTHCARE MANISTEE HOSPITAL,Acute Care Hospitals,3,1,0,45652.0,14373.0
NORTHFIELD HOSPITAL,Acute Care Hospitals,4,0,0,68199.0,25106.0
MAYO CLINIC HEALTH SYSTEM IN RED WING,Acute Care Hospitals,5,1,0,55519.0,18233.0
CAMBRIDGE MEDICAL CENTER,Acute Care Hospitals,4,0,0,60958.0,15231.0
LAKE REGION HEALTHCARE CORPORATION,Acute Care Hospitals,3,0,0,52000.0,18904.0
GRAND ITASCA CLINIC AND HOSPITAL,Acute Care Hospitals,4,1,0,52351.0,20037.0
ESSENTIA HEALTH VIRGINIA,Acute Care Hospitals,3,0,1,39080.0,9795.0
ESSENTIA HEALTH ST MARYS - DETROIT LAKES,Acute Care Hospitals,4,0,0,54807.0,17322.0
MAYO CLINIC HEALTH SYSTEM - FAIRMONT,Acute Care Hospitals,4,0,0,52041.0,11897.0
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,Acute Care Hospitals,5,1,0,40413.0,17267.0
MERCY HOSPITAL LEBANON,Acute Care Hospitals,4,1,0,42604.0,29517.0
WESTERN MISSOURI MEDICAL CENTER,Acute Care Hospitals,4,0,0,47338.0,27875.0
GOLDEN VALLEY MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,0,41262.0,13317.0
BELTON REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,0,0,63307.0,27109.0
NORTHERN MONTANA HOSPITAL,Acute Care Hospitals,4,2,0,45668.0,12528.0
KEARNEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,3,0,0,56295.0,21065.0
ALICE HYDE MEDICAL CENTER,Acute Care Hospitals,3,0,0,49561.0,15778.0
NORTHWELL HOSPITAL GLEN COVE,Acute Care Hospitals,4,0,2,75685.0,27771.0
"TRANSYLVANIA REGIONAL HOSPITAL, INC",Critical Access Hospitals,4,1,0,42591.0,19344.0
UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,Acute Care Hospitals,4,0,0,49721.0,32647.0
OHIOHEALTH O'BLENESS HOSPITAL,Acute Care Hospitals,5,1,0,35588.0,35432.0
MCCULLOUGH-HYDE MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,40079.0,27654.0
MERCY HEALTH - TIFFIN HOSPITAL,Acute Care Hospitals,5,1,0,47248.0,28402.0
MEMORIAL HOSPITAL,Acute Care Hospitals,5,1,0,74890.0,34001.0
MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,46495.0,30294.0
MID-COLUMBIA MEDICAL CENTER,Acute Care Hospitals,3,0,0,48303.0,20035.0
"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",Acute Care Hospitals,5,2,0,35599.0,18745.0
ST ANTHONY HOSPITAL,Critical Access Hospitals,5,1,0,49650.0,21031.0
ST LUKES QUAKERTOWN HOSPITAL,Acute Care Hospitals,4,0,0,66463.0,34671.0
WARREN GENERAL HOSPITAL,Acute Care Hospitals,2,0,1,46086.0,18060.0
GROVE CITY MEDICAL CENTER,Acute Care Hospitals,4,1,0,53333.0,15769.0
NEWBERRY COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,5,0,0,36614.0,20631.0
AVERA QUEEN OF PEACE,Acute Care Hospitals,5,0,0,47995.0,18565.0
AVERA ST MARY'S HOSPITAL,Acute Care Hospitals,4,1,0,59921.0,16766.0
LUBBOCK HEART HOSPITAL LP,Acute Care Hospitals,3,0,1,48594.0,33302.0
CEDAR CITY HOSPITAL,Acute Care Hospitals,5,2,0,44821.0,22221.0
BRATTLEBORO MEMORIAL HOSPITAL,Acute Care Hospitals,2,0,0,47681.0,16340.0
SMYTH COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,5,0,0,40273.0,14574.0
CLINCH VALLEY MEDICAL CENTER,Acute Care Hospitals,3,0,0,29076.0,5603.0
LEWISGALE HOSPITAL PULASKI,Acute Care Hospitals,3,0,1,43277.0,13992.0
PLEASANT VALLEY HOSPITAL,Acute Care Hospitals,3,0,0,40685.0,8464.0
ASCENSION ST MARYS HOSPITAL,Acute Care Hospitals,4,1,0,53750.0,20051.0
SSM HEALTH ST CLARE HOSPITAL - BARABOO,Acute Care Hospitals,5,1,0,48556.0,20319.0
FORT MEMORIAL HOSPITAL,Acute Care Hospitals,5,0,0,55340.0,18836.0
BAY AREA MEDICAL CENTER,Acute Care Hospitals,5,0,0,43197.0,14776.0
ST JOHNS MEDICAL CENTER,Acute Care Hospitals,5,0,0,79725.0,16990.0
IVINSON MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,1,39665.0,16802.0
CODY REGIONAL HEALTH,Critical Access Hospitals,3,0,0,63328.0,15833.0
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,Acute Care Hospitals,5,1,0,56488.0,18488.0
MONTROSE MEMORIAL HOSPITAL,Acute Care Hospitals,4,2,0,41451.0,21976.0
WITHAM HEALTH SERVICES,Acute Care Hospitals,3,0,0,54402.0,21969.0
VIA CHRISTI HOSPITAL PITTSBURG INC,Acute Care Hospitals,2,2,0,35277.0,24747.0
A R GOULD HOSPITAL,Acute Care Hospitals,3,0,2,37036.0,9246.0
NORTHERN LIGHT MAINE COAST HOSPITAL,Acute Care Hospitals,4,0,0,52645.0,13821.0
PENOBSCOT BAY MEDICAL CENTER,Acute Care Hospitals,4,0,1,62625.0,3356.0
MUNSON HEALTHCARE GRAYLING HOSPITAL,Acute Care Hospitals,4,1,0,43536.0,9583.0
ST JAMES HEALTHCARE,Acute Care Hospitals,3,0,0,39664.0,33443.0
HACKETTSTOWN MEDICAL CENTER,Acute Care Hospitals,1,0,0,77931.0,30028.0
WATAUGA MEDICAL CENTER,Acute Care Hospitals,4,1,0,36508.0,35561.0
CLINTON MEMORIAL HOSPITAL,Acute Care Hospitals,1,0,1,48702.0,22226.0
UPMC WELLSBORO,Critical Access Hospitals,5,0,0,53809.0,10069.0
CHI ST. LUKES' BRAZOSPORT HOSPITAL,Acute Care Hospitals,4,0,0,78276.0,29441.0
HENDRICK MEDICAL CENTER BROWNWOOD,Acute Care Hospitals,3,0,0,40555.0,24918.0
NORTHWESTERN MEDICAL CENTER INC,Acute Care Hospitals,3,0,0,58845.0,14935.0
NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE,Acute Care Hospitals,3,0,1,64660.0,33915.0
VCU HEALTH TAPPAHANNOCK HOSPITAL,Acute Care Hospitals,4,1,0,46369.0,5814.0
RIVERSIDE WALTER REED HOSPITAL,Acute Care Hospitals,4,0,2,69205.0,21060.0
ISLAND HOSPITAL,Acute Care Hospitals,4,1,0,65026.0,21068.0
OCONOMOWOC MEMORIAL HOSPITAL,Acute Care Hospitals,5,2,0,86343.0,34677.0
CAMPBELL COUNTY HEALTH,Acute Care Hospitals,4,2,0,70083.0,18262.0
SHERIDAN MEMORIAL HOSPITAL,Acute Care Hospitals,5,3,0,55710.0,25134.0
MONTCLAIR HOSPITAL MEDICAL CENTER,Acute Care Hospitals,3,0,0,54263.0,38211.0
WOMEN'S HOSPITAL THE,Acute Care Hospitals,4,0,0,74469.0,35920.0
NORTH CENTRAL BRONX HOSPITAL,Acute Care Hospitals,2,0,0,35381.0,102718.0
METHODIST HOSPITAL FOR SURGERY,Acute Care Hospitals,5,0,0,73578.0,14617.0
GREATER EL MONTE COMMUNITY HOSPITAL,Acute Care Hospitals,5,0,0,42758.0,44989.0
CHAPMAN GLOBAL MEDICAL CENTER,Acute Care Hospitals,2,0,1,96417.0,36598.0
COASTAL COMMUNITIES HOSPITAL,Acute Care Hospitals,2,0,1,63056.0,90525.0
"L A DOWNTOWN MEDICAL CENTER, LLC",Acute Care Hospitals,5,0,1,54342.0,68609.0
OVIEDO MEDICAL CENTER,Acute Care Hospitals,2,0,0,72530.0,63974.0
JACKSON PARK HOSPITAL,Acute Care Hospitals,1,0,2,24941.0,44223.0
SOUTH SHORE HOSPITAL,Acute Care Hospitals,1,0,1,38417.0,81227.0
NOVANT HEALTH MEDICAL PARK HOSPITAL,Acute Care Hospitals,5,0,0,45912.0,35792.0
PRISMA HEALTH  PATEWOOD HOSPITAL,Acute Care Hospitals,5,1,0,57208.0,36336.0
U S M D HOSPITAL AT ARLINGTON L P,Acute Care Hospitals,2,0,0,69155.0,47010.0
SAN GORGONIO MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,40055.0,33016.0
ST VINCENT HEART CENTER,Acute Care Hospitals,5,3,0,250001.0,213.0
KANSAS HEART HOSPITAL,Acute Care Hospitals,3,0,0,69238.0,19172.0
WHITESBURG ARH HOSPITAL,Acute Care Hospitals,2,0,3,29380.0,7891.0
"GRACE MEDICAL CENTER, INC",Acute Care Hospitals,2,0,0,26899.0,23811.0
NORTH VISTA HOSPITAL,Acute Care Hospitals,2,0,3,32533.0,48944.0
SOUTHWESTERN REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,0,0,59950.0,46028.0
MANATI MEDICAL CENTER DR OTERO LOPEZ,Acute Care Hospitals,1,0,2,18032.0,40826.0
BANNER HEART HOSPITAL,Acute Care Hospitals,4,1,0,48856.0,36379.0
GARDEN GROVE HOSPITAL & MEDICAL CENTER,Acute Care Hospitals,4,0,0,56274.0,45198.0
ALHAMBRA HOSPITAL MEDICAL CENTER,Acute Care Hospitals,5,0,2,53644.0,54928.0
COAST PLAZA HOSPITAL,Acute Care Hospitals,2,0,2,63669.0,106404.0
MEASE DUNEDIN HOSPITAL,Acute Care Hospitals,5,0,0,46193.0,38230.0
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,Acute Care Hospitals,1,0,4,31010.0,75992.0
UPSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,0,33893.0,22739.0
CRISP REGIONAL HOSPITAL,Acute Care Hospitals,3,0,1,32343.0,21673.0
NORWEGIAN-AMERICAN HOSPITAL,Acute Care Hospitals,1,0,2,87143.0,53680.0
ST JOSEPH HOSPITAL,Acute Care Hospitals,2,0,0,31340.0,10672.0
EAST LIVERPOOL CITY HOSPITAL,Acute Care Hospitals,4,0,1,39750.0,22684.0
CANONSBURG GENERAL HOSPITAL,Acute Care Hospitals,3,1,0,84858.0,37962.0
PRISMA HEALTH BAPTIST EASLEY HOSPITAL,Acute Care Hospitals,4,0,1,45815.0,30180.0
FORT DUNCAN MEDICAL CENTER,Acute Care Hospitals,4,0,0,37667.0,55879.0
OAKBEND MEDICAL CENTER,Acute Care Hospitals,4,0,1,82214.0,46934.0
PALESTINE REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,0,0,37842.0,15615.0
MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,4,0,0,54001.0,36220.0
BANNER IRONWOOD MEDICAL CENTER,Acute Care Hospitals,4,1,0,67126.0,45504.0
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,Acute Care Hospitals,3,1,0,89440.0,22408.0
WATSONVILLE COMMUNITY HOSPITAL,Acute Care Hospitals,2,0,1,61211.0,87781.0
TWIN CITIES COMMUNITY HOSPITAL,Acute Care Hospitals,3,1,0,80894.0,8905.0
MONTEREY PARK HOSPITAL,Acute Care Hospitals,2,0,2,58056.0,33114.0
CASTLE ROCK ADVENTIST HOSPITAL,Acute Care Hospitals,4,0,0,120989.0,21427.0
LONGS PEAK HOSPITAL,Acute Care Hospitals,5,1,1,88036.0,52339.0
TWIN CITIES HOSPITAL,Acute Care Hospitals,4,0,0,81445.0,32246.0
ADVENTHEALTH LAKE WALES,Acute Care Hospitals,2,0,3,36569.0,12017.0
BAPTIST MEDICAL CENTER - NASSAU,Acute Care Hospitals,5,2,0,68533.0,33695.0
GULF BREEZE HOSPITAL,Acute Care Hospitals,5,2,0,100486.0,9154.0
ST CLOUD REGIONAL MEDICAL CENTER,Acute Care Hospitals,3,0,1,42869.0,23144.0
WAYNE MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,41656.0,16474.0
RUSH OAK PARK HOSPITAL,Acute Care Hospitals,5,0,1,100842.0,17578.0
HENRY COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,43265.0,29865.0
SOUTHWEST MEDICAL CENTER,Acute Care Hospitals,2,0,0,47675.0,22136.0
"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",Acute Care Hospitals,2,2,0,98290.0,12649.0
NATCHITOCHES REGIONAL MEDICAL CENTER,Acute Care Hospitals,3,0,0,26314.0,27741.0
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,Acute Care Hospitals,4,0,0,75418.0,39771.0
KARMANOS CANCER CENTER,Acute Care Hospitals,3,0,0,14909.0,15181.0
ESSENTIA HEALTH DULUTH,Acute Care Hospitals,3,1,0,25892.0,9688.0
OCH REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,0,37373.0,44057.0
KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,Acute Care Hospitals,2,1,1,35276.0,22914.0
BOLIVAR MEDICAL CENTER,Acute Care Hospitals,3,0,1,32037.0,17900.0
CAMERON REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,0,48562.0,12676.0
MOBERLY REGIONAL MEDICAL CENTER,Acute Care Hospitals,3,0,0,42907.0,17438.0
TRUMAN MEDICAL CENTER LAKEWOOD,Acute Care Hospitals,3,0,0,105063.0,1925.0
DEBORAH HEART AND LUNG CENTER,Acute Care Hospitals,4,0,1,65531.0,19837.0
ST JOSEPH'S MEDICAL CENTER,Acute Care Hospitals,2,0,1,46519.0,59101.0
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",Acute Care Hospitals,2,0,4,59287.0,85776.0
EASTERN NIAGARA HOSPITAL,Acute Care Hospitals,1,0,3,53029.0,49308.0
SAMPSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,1,34521.0,27883.0
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,Acute Care Hospitals,4,0,0,42261.0,45720.0
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,Acute Care Hospitals,4,0,1,40359.0,12310.0
WOOD COUNTY HOSPITAL,Acute Care Hospitals,3,0,0,42585.0,32240.0
LUTHERAN HOSPITAL,Acute Care Hospitals,5,0,1,46481.0,19830.0
PONCA CITY MEDICAL CENTER,Acute Care Hospitals,2,0,0,40281.0,19164.0
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",Acute Care Hospitals,5,3,0,55823.0,22338.0
ST CHARLES REDMOND,Acute Care Hospitals,4,0,0,54488.0,36611.0
PROVIDENCE MILWAUKIE HOSPITAL,Acute Care Hospitals,4,0,0,55031.0,35965.0
CAROLINA PINES REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,1,1,42201.0,32764.0
PRISMA HEALTH GREER MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,0,70332.0,35479.0
EAST COOPER MEDICAL CENTER,Acute Care Hospitals,3,0,1,81628.0,50612.0
AVERA SACRED HEART HOSPITAL,Acute Care Hospitals,5,2,0,47216.0,18994.0
SYCAMORE SHOALS HOSPITAL,Acute Care Hospitals,4,0,0,34371.0,33992.0
GREENEVILLE COMMUNITY HOSPITAL,Acute Care Hospitals,2,1,0,37346.0,17144.0
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,43988.0,13023.0
SAINT THOMAS RIVER PARK HOSPITAL,Acute Care Hospitals,4,0,0,35887.0,33008.0
DALLAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,0,1,47016.0,55797.0
WYTHE COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,3,1,0,44972.0,13857.0
CASCADE VALLEY HOSPITAL,Acute Care Hospitals,3,1,0,76555.0,42071.0
AURORA LAKELAND MEDICAL CENTER,Acute Care Hospitals,5,2,0,65065.0,18597.0
ANDALUSIA HEALTH,Acute Care Hospitals,4,0,0,42726.0,10621.0
STRINGFELLOW MEMORIAL HOSPITAL,Acute Care Hospitals,3,1,0,27266.0,18849.0
CANYON VISTA MEDICAL CENTER,Acute Care Hospitals,3,0,0,52860.0,33574.0
BAPTIST HEALTH MEDICAL CENTER- CONWAY,Acute Care Hospitals,4,1,0,44686.0,32508.0
ST ELIZABETH COMMUNITY HOSPITAL,Acute Care Hospitals,4,0,0,38740.0,28075.0
SUTTER TRACY COMMUNITY HOSPITAL,Acute Care Hospitals,5,2,0,70501.0,52371.0
ST JOHNS PLEASANT VALLEY HOSPITAL,Acute Care Hospitals,4,0,0,90260.0,44122.0
MELBOURNE REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,1,44247.0,41704.0
VIERA HOSPITAL,Acute Care Hospitals,4,0,1,69508.0,38683.0
"COFFEE REGIONAL MEDICAL CENTER, INC",Acute Care Hospitals,1,0,3,35590.0,16629.0
PIEDMONT MOUNTAINSIDE HOSPITAL INC,Acute Care Hospitals,5,0,0,64679.0,22397.0
WEST VALLEY MEDICAL CENTER,Acute Care Hospitals,4,1,0,42183.0,44416.0
KATHERINE SHAW BETHEA HOSPITAL,Acute Care Hospitals,3,1,0,60627.0,22836.0
ST MARY MEDICAL CENTER,Acute Care Hospitals,3,0,2,37262.0,33964.0
HEARTLAND REGIONAL MEDICAL CENTER,Acute Care Hospitals,3,0,1,52301.0,28419.0
FRANCISCAN HEALTH MOORESVILLE,Acute Care Hospitals,5,1,0,60751.0,22362.0
HARLAN ARH HOSPITAL,Acute Care Hospitals,2,0,4,23773.0,5219.0
MINDEN MEDICAL CENTER,Acute Care Hospitals,3,0,1,31486.0,19176.0
UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL,Acute Care Hospitals,2,0,0,76416.0,18086.0
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Acute Care Hospitals,5,0,1,126866.0,10301.0
